fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,lastUpdatedDate
02013,USA,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,0.0,Valorum,68.49608288026029,,,,,,3,0,3,4,4,4,37,0,18,1928,,,,,,,,,,4,2020-11-30
02016,USA,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.013999999999999999,CMSTesting,5.071251077640854,,0.944428158976,1.3732722315340002,inf,,1,0,1,4,1,4,108,0,114,3238,,0,,,,0,,,,0,2020-11-30
02020,USA,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.135,CMSTesting,96.77579365079366,,0.9605267150679999,0.10000000000200027,0.6240504854794521,,3,2,3,4,1,2,16588,67,17590,433201,,1149,,32,0.66,73,,,0.71,232,2020-11-30
02050,USA,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.15,CMSTesting,295.25570698202046,,1.1663966540700001,0.24907223041999993,inf,,3,2,3,4,2,4,1528,5,892,32428,,37,,0,0.4,0,,,,92,2020-11-30
02060,USA,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,0.005,CMSTesting,0.0,,,,,,0,0,0,4,4,4,76,0,,,,,,,,,,,,0,2020-11-30
02068,USA,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.011000000000000001,CMSTesting,23.843586075345733,,,,,,2,0,2,4,4,4,43,0,33,1328,,,,,,,,,,1,2020-11-30
02070,USA,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.047,CMSTesting,23.73203146189314,,,,inf,,2,1,2,4,4,4,99,1,47,4237,,18,,,0.15,0,,,,1,2020-11-30
02090,USA,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.092,CMSTesting,38.351306820779925,,1.0231799400200001,0.21869681803999996,0.5466350433566434,,3,1,3,4,1,1,3452,17,2546,52261,,175,,10,0.46,13,,,0.66,73,2020-11-30
02100,USA,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,0.0,Valorum,0.0,,,,,,0,0,0,4,4,4,16,0,8,1702,,,,,,,,,,0,2020-11-30
02105,USA,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,2020-11-30
